ID,Dutch
AMDI_0001_I_0001_1,We heten u welkom bij de test van het muzikale geheugen!
"AMDI_0002_I_0001_1,""In elke taak van de test zult u drie versies van dezelfde melodie horen. De versies zullen verschillen in toonhoogte, waarbij elke volgende melodie één toon hoger is dan de vorige. Echter, één van de melodieën is onjuist omdat er een noot is vervangen. Uw taak is om te bepalen welke melodie onjuist is."""
"AMDI_0003_I_0001_1,""In dit voorbeeld is de tweede melodie onjuist."""
AMDI_0004_I_0001_1,Probeer nu enkele voorbeelden zelf uit te voeren. Deze melodieën zijn nog niet bekend bij u.
AMDI_0005_I_0001_1,Welke van de melodieën was onjuist?
AMDI_0006_I_0001_1,**Juist!**
AMDI_0007_I_0001_1,De eerste melodie was onjuist.
AMDI_0008_I_0001_1,Wilt u teruggaan naar de instructies en het opnieuw proberen?
"AMDI_0008_R_0001_1,""Ja, ik wil teruggaan."""
"AMDI_0008_R_0002_1,""Nee, ik ben klaar om de hoofdtest te starten."""
"AMDI_0009_I_0001_1,""De test begint nu, waarbij u {{test_length}} taken krijgt die vergelijkbaar zijn met de voorgaande. Maak u geen zorgen als sommige taken erg moeilijk lijken. Als u niet zeker weet welk antwoord juist is, probeer dan te raden!"""
AMDI_0010_I_0001_1,**Onjuist.**
AMDI_0011_I_0001_1,Taak {{num_question}} van {{test_length}}
AMDI_0012_I_0001_1,De derde melodie was onjuist.
AMDI_0013_I_0001_1,Welke van de melodieën was onjuist?
AMDI_0014_I_0001_1,U hebt de test voor het onderscheiden van melodieën voltooid!
"AMDI_0015_I_0001_1,""Klik om te beëindigen."""
AMDI_0016_I_0001_1,Doorgaan
AMDI_0017_I_0001_1,Uw vermogen om melodieën te onthouden:
AMDI_0018_I_0001_1,Vermogen om melodieën te onthouden
enter_p_id,Voer de deelnemersnaam in.
results_have_been_saved,Uw resultaat is opgeslagen.
you_may_close_browser,U kunt nu het browservenster sluiten.
"demo_intro,""Welkom bij de **Test voor Melodische Onderscheiding**!\\Deze test past zich aan aan uw prestaties. Als u het goed doet, krijgt u moeilijkere opdrachten. Gewoonlijk wordt dit aanpassingsproces aan de deelnemer verborgen gehouden. Voor deze demonstratie zullen we echter uw lopende prestatiescore en bijbehorend moeilijkheidsniveau op elke proef laten zien."""
